Order ID,Order Date,Year,Month,Quarter,Customer ID,Customer Name,Product ID,Category,Product Name,Quantity,Unit Price,Sales,City,State,District,Payment Method,Order Status,Rating,Shipping Days
ORD-00000012,2023-02-06,2023,2,1,CUST-02054,Customer 1824,PROD-0073,Toys,Building Blocks,4,29.99,119.96,Los Angeles,Los Angeles,Hollywood,Credit Card,Shipped,4,5
ORD-00000013,2024-02-18,2024,2,1,CUST-02606,Customer 3943,PROD-0001,Books,Novel,1,149.99,149.99,New York,New York,Manhattan,Amazon Pay,Delivered,5,7
ORD-00000014,2023-04-11,2023,4,2,CUST-02331,Customer 1732,PROD-0013,Home,Rug,4,79.99,319.96,San Antonio,San Antonio,Alamo Heights,Credit Card,Delivered,4,6
ORD-00000015,2024-02-14,2024,2,1,CUST-04131,Customer 1230,PROD-0066,Toys,Car,1,999.99,999.99,San Diego,San Diego,Downtown,Amazon Pay,Shipped,5,1
ORD-00000016,2024-03-07,2024,3,1,CUST-02468,Customer 1033,PROD-0066,Books,Textbook,4,99.99,399.96,Houston,Houston,Downtown,Debit Card,Delivered,2,1
ORD-00000017,2023-07-04,2023,7,3,CUST-04464,Customer 2558,PROD-0035,Beauty,Skincare,2,99.99,199.98,Chicago,Chicago,Lincoln Park,Amazon Pay,Cancelled,5,4
ORD-00000018,2024-03-31,2024,3,1,CUST-00507,Customer 340,PROD-0029,Beauty,Perfume,3,149.99,449.97,Philadelphia,Philadelphia,University City,Debit Card,Delivered,4,3
ORD-00000019,2024-01-10,2024,1,1,CUST-02737,Customer 2767,PROD-0062,Beauty,Makeup,1,299.99,299.99,Phoenix,Phoenix,Downtown,Amazon Pay,Delivered,5,3
ORD-00000020,2023-04-22,2023,4,2,CUST-01953,Customer 3576,PROD-0083,Clothing,Dress,4,49.99,199.96,Houston,Houston,Galleria,Credit Card,Shipped,3,5
ORD-00000021,2024-01-11,2024,1,1,CUST-03453,Customer 843,PROD-0055,Clothing,Jacket,5,999.99,4999.95,Houston,Houston,Galleria,Debit Card,Shipped,2,7
ORD-00000022,2023-06-26,2023,6,2,CUST-00937,Customer 3460,PROD-0061,Sports,Bike,1,299.99,299.99,New York,New York,Manhattan,Gift Card,Delivered,5,2
ORD-00000023,2024-04-19,2024,4,2,CUST-02737,Customer 3439,PROD-0091,Food,Snacks,2,99.99,199.98,Houston,Houston,Galleria,Amazon Pay,Delivered,5,5
ORD-00000024,2023-04-04,2023,4,2,CUST-01342,Customer 2993,PROD-0071,Beauty,Shampoo,3,499.99,1499.97,Phoenix,Phoenix,Tempe,Debit Card,Delivered,4,2
ORD-00000025,2023-06-16,2023,6,2,CUST-01715,Customer 2347,PROD-0089,Beauty,Shampoo,3,149.99,449.97,Chicago,Chicago,Wicker Park,Gift Card,Delivered,4,7
ORD-00000026,2024-05-19,2024,5,2,CUST-04453,Customer 2848,PROD-0058,Food,Snacks,1,19.99,19.99,New York,New York,Bronx,Gift Card,Delivered,5,6
ORD-00000027,2023-08-06,2023,8,3,CUST-00039,Customer 597,PROD-0068,Toys,Game,1,499.99,499.99,Los Angeles,Los Angeles,Downtown,Gift Card,Delivered,4,3
ORD-00000028,2023-06-25,2023,6,2,CUST-02132,Customer 2451,PROD-0043,Sports,Dumbbell,2,49.99,99.98,Houston,Houston,Galleria,PayPal,Delivered,5,2
ORD-00000029,2023-01-02,2023,1,1,CUST-01703,Customer 2065,PROD-0028,Electronics,Camera,1,299.99,299.99,San Antonio,San Antonio,The Pearl,Gift Card,Delivered,4,1
ORD-00000030,2024-01-12,2024,1,1,CUST-04317,Customer 1631,PROD-0013,Electronics,Camera,4,499.99,1999.96,Chicago,Chicago,Wicker Park,Credit Card,Delivered,4,7
ORD-00000031,2023-08-01,2023,8,3,CUST-00824,Customer 383,PROD-0098,Food,Snacks,4,29.99,119.96,San Diego,San Diego,Gaslamp,PayPal,Delivered,5,1
ORD-00000032,2023-03-08,2023,3,1,CUST-03005,Customer 1853,PROD-0031,Food,Coffee,1,999.99,999.99,San Diego,San Diego,Downtown,Gift Card,Processing,5,2
ORD-00000033,2023-10-31,2023,10,4,CUST-01571,Customer 1505,PROD-0038,Toys,Doll,2,299.99,599.98,Phoenix,Phoenix,Tempe,Amazon Pay,Delivered,4,7
ORD-00000034,2024-06-06,2024,6,2,CUST-00174,Customer 1985,PROD-0013,Beauty,Skincare,4,99.99,399.96,Philadelphia,Philadelphia,University City,Debit Card,Shipped,5,5
ORD-00000035,2023-12-20,2023,12,4,CUST-02697,Customer 3065,PROD-0041,Sports,Bike,1,149.99,149.99,San Antonio,San Antonio,Downtown,Gift Card,Delivered,2,6
ORD-00000036,2023-10-10,2023,10,4,CUST-02694,Customer 625,PROD-0051,Home,Lamp,4,199.99,799.96,San Antonio,San Antonio,Downtown,Credit Card,Delivered,5,7
ORD-00000037,2024-01-11,2024,1,1,CUST-01681,Customer 2764,PROD-0081,Food,Cereal,3,199.99,599.97,Houston,Houston,Midtown,Amazon Pay,Shipped,3,6
ORD-00000038,2024-05-25,2024,5,2,CUST-03081,Customer 2038,PROD-0064,Toys,Car,1,199.99,199.99,Phoenix,Phoenix,Tempe,Amazon Pay,Delivered,4,6
ORD-00000039,2023-03-08,2023,3,1,CUST-00743,Customer 4335,PROD-0059,Sports,Bike,1,499.99,499.99,San Antonio,San Antonio,Alamo Heights,Debit Card,Shipped,5,7
ORD-00000040,2024-04-24,2024,4,2,CUST-00458,Customer 3735,PROD-0047,Sports,Tennis Racket,4,149.99,599.96,San Antonio,San Antonio,Alamo Heights,Amazon Pay,Delivered,5,1
ORD-00000041,2024-01-17,2024,1,1,CUST-01393,Customer 470,PROD-0049,Home,Lamp,5,149.99,749.95,Philadelphia,Philadelphia,Center City,Amazon Pay,Delivered,5,4
ORD-00000042,2024-02-23,2024,2,1,CUST-04170,Customer 3735,PROD-0087,Home,Furniture,1,99.99,99.99,Chicago,Chicago,Wicker Park,Amazon Pay,Delivered,5,6
ORD-00000043,2023-12-24,2023,12,4,CUST-03290,Customer 1458,PROD-0018,Clothing,T-Shirt,4,299.99,1199.96,Houston,Houston,Midtown,PayPal,Processing,4,3
ORD-00000044,2023-04-26,2023,4,2,CUST-02456,Customer 4578,PROD-0063,Food,Coffee,4,19.99,79.96,San Diego,San Diego,Gaslamp,Debit Card,Delivered,5,3
ORD-00000045,2024-06-22,2024,6,2,CUST-03788,Customer 783,PROD-0062,Books,Biography,1,79.99,79.99,Houston,Houston,Galleria,Amazon Pay,Delivered,4,3
ORD-00000046,2023-04-29,2023,4,2,CUST-04854,Customer 211,PROD-0007,Electronics,Smart Watch,5,999.99,4999.95,Philadelphia,Philadelphia,University City,Debit Card,Returned,5,2
ORD-00000047,2023-05-14,2023,5,2,CUST-04313,Customer 3230,PROD-0016,Clothing,Hat,3,99.99,299.97,San Diego,San Diego,Gaslamp,Credit Card,Delivered,4,3
ORD-00000048,2023-12-13,2023,12,4,CUST-03578,Customer 3937,PROD-0036,Beauty,Perfume,5,19.99,99.95,Philadelphia,Philadelphia,Center City,Debit Card,Delivered,5,4
ORD-00000049,2023-11-04,2023,11,4,CUST-04058,Customer 2659,PROD-0033,Food,Protein Bar,3,49.99,149.97,Phoenix,Phoenix,Downtown,Credit Card,Delivered,5,3
ORD-00000050,2023-07-08,2023,7,3,CUST-01963,Customer 4920,PROD-0053,Food,Protein Bar,5,299.99,1499.95,New York,New York,Queens,Gift Card,Delivered,5,6
ORD-00000051,2024-03-26,2024,3,1,CUST-00395,Customer 1052,PROD-0083,Home,Lamp,4,29.99,119.96,New York,New York,Queens,Debit Card,Returned,5,6
ORD-00000052,2023-03-23,2023,3,1,CUST-03185,Customer 610,PROD-0083,Toys,Doll,3,499.99,1499.97,Houston,Houston,Downtown,Credit Card,Delivered,5,4
ORD-00000053,2024-06-23,2024,6,2,CUST-01889,Customer 2665,PROD-0002,Sports,Dumbbell,5,499.99,2499.95,San Antonio,San Antonio,Downtown,Amazon Pay,Delivered,4,5
ORD-00000054,2023-02-18,2023,2,1,CUST-01487,Customer 1730,PROD-0003,Toys,Doll,2,499.99,999.98,Philadelphia,Philadelphia,University City,Amazon Pay,Delivered,5,4
ORD-00000055,2023-09-22,2023,9,3,CUST-02476,Customer 3550,PROD-0075,Beauty,Shampoo,3,999.99,2999.97,Chicago,Chicago,Wicker Park,Credit Card,Delivered,4,5
ORD-00000056,2023-06-11,2023,6,2,CUST-03972,Customer 3945,PROD-0076,Beauty,Shampoo,5,299.99,1499.95,Philadelphia,Philadelphia,University City,Credit Card,Delivered,4,4
ORD-00000057,2024-06-05,2024,6,2,CUST-00848,Customer 443,PROD-0082,Clothing,Dress,2,29.99,59.98,Chicago,Chicago,Loop,Gift Card,Delivered,3,2
ORD-00000058,2023-07-25,2023,7,3,CUST-04960,Customer 2240,PROD-0078,Toys,Doll,2,149.99,299.98,Phoenix,Phoenix,Tempe,Credit Card,Delivered,5,4
ORD-00000059,2024-04-25,2024,4,2,CUST-02822,Customer 72,PROD-0080,Sports,Running Shoes,5,29.99,149.95,Philadelphia,Philadelphia,University City,PayPal,Delivered,5,2
ORD-00000060,2024-04-22,2024,4,2,CUST-00064,Customer 4285,PROD-0093,Food,Tea,2,99.99,199.98,Los Angeles,Los Angeles,Hollywood,Amazon Pay,Delivered,5,6
ORD-00000061,2024-06-20,2024,6,2,CUST-03937,Customer 4498,PROD-0085,Books,Biography,4,999.99,3999.96,Los Angeles,Los Angeles,Downtown,Amazon Pay,Cancelled,3,3
ORD-00000062,2024-01-02,2024,1,1,CUST-03578,Customer 4663,PROD-0035,Clothing,Shoes,1,99.99,99.99,New York,New York,Bronx,Credit Card,Delivered,3,1
ORD-00000063,2024-05-22,2024,5,2,CUST-02533,Customer 3799,PROD-0075,Books,Biography,4,149.99,599.96,Chicago,Chicago,Lincoln Park,Amazon Pay,Delivered,4,6
ORD-00000064,2023-06-17,2023,6,2,CUST-00063,Customer 3958,PROD-0043,Clothing,Dress,2,499.99,999.98,New York,New York,Bronx,Gift Card,Shipped,5,1
ORD-00000065,2024-01-18,2024,1,1,CUST-02417,Customer 794,PROD-0004,Clothing,Shoes,5,79.99,399.95,New York,New York,Bronx,Gift Card,Delivered,5,5
ORD-00000066,2023-02-05,2023,2,1,CUST-02357,Customer 2415,PROD-0042,Beauty,Shampoo,3,149.99,449.97,Los Angeles,Los Angeles,Hollywood,PayPal,Delivered,5,6
ORD-00000067,2023-08-12,2023,8,3,CUST-01755,Customer 3068,PROD-0003,Clothing,Dress,2,79.99,159.98,Chicago,Chicago,Loop,Credit Card,Delivered,5,6
ORD-00000068,2023-02-22,2023,2,1,CUST-01365,Customer 4665,PROD-0088,Food,Coffee,5,19.99,99.95,New York,New York,Manhattan,Amazon Pay,Delivered,4,5
ORD-00000069,2023-10-04,2023,10,4,CUST-02842,Customer 4680,PROD-0081,Clothing,Hat,3,149.99,449.97,Los Angeles,Los Angeles,Hollywood,Gift Card,Delivered,5,7
ORD-00000070,2024-06-10,2024,6,2,CUST-00160,Customer 2493,PROD-0052,Sports,Running Shoes,3,299.99,899.97,Houston,Houston,Midtown,Debit Card,Delivered,5,3
ORD-00000071,2023-05-23,2023,5,2,CUST-04503,Customer 4028,PROD-0066,Beauty,Shampoo,4,199.99,799.96,Houston,Houston,Midtown,Debit Card,Delivered,2,4
ORD-00000072,2024-06-04,2024,6,2,CUST-01340,Customer 4869,PROD-0044,Home,Rug,3,299.99,899.97,Houston,Houston,Galleria,PayPal,Delivered,5,4
ORD-00000073,2024-06-24,2024,6,2,CUST-00384,Customer 4995,PROD-0032,Food,Coffee,2,999.99,1999.98,Phoenix,Phoenix,Scottsdale,Credit Card,Delivered,5,5
ORD-00000074,2023-01-17,2023,1,1,CUST-04664,Customer 3876,PROD-0006,Toys,Doll,5,199.99,999.95,Houston,Houston,Galleria,PayPal,Delivered,5,4
ORD-00000075,2023-01-30,2023,1,1,CUST-04552,Customer 3941,PROD-0014,Toys,Building Blocks,1,19.99,19.99,Houston,Houston,Downtown,PayPal,Delivered,2,4
ORD-00000076,2023-09-07,2023,9,3,CUST-03063,Customer 1835,PROD-0018,Sports,Dumbbell,2,49.99,99.98,San Antonio,San Antonio,Alamo Heights,Credit Card,Delivered,5,6
ORD-00000077,2023-05-11,2023,5,2,CUST-00456,Customer 1861,PROD-0012,Electronics,Laptop,5,99.99,499.95,Los Angeles,Los Angeles,Downtown,PayPal,Processing,5,7
ORD-00000078,2024-03-11,2024,3,1,CUST-00350,Customer 3843,PROD-0049,Clothing,Dress,3,499.99,1499.97,Chicago,Chicago,Loop,Credit Card,Delivered,5,5
ORD-00000079,2023-07-09,2023,7,3,CUST-01539,Customer 332,PROD-0085,Sports,Dumbbell,5,199.99,999.95,Houston,Houston,Midtown,Gift Card,Returned,4,2
ORD-00000080,2024-04-12,2024,4,2,CUST-04448,Customer 3352,PROD-0024,Clothing,T-Shirt,1,29.99,29.99,Phoenix,Phoenix,Scottsdale,Gift Card,Shipped,5,6
ORD-00000081,2024-01-12,2024,1,1,CUST-03616,Customer 2620,PROD-0076,Sports,Dumbbell,1,79.99,79.99,San Antonio,San Antonio,The Pearl,Gift Card,Processing,3,7
ORD-00000082,2024-03-08,2024,3,1,CUST-01940,Customer 2550,PROD-0024,Home,Curtain,5,999.99,4999.95,Los Angeles,Los Angeles,Santa Monica,Credit Card,Delivered,5,7
ORD-00000083,2024-05-17,2024,5,2,CUST-03585,Customer 4307,PROD-0096,Toys,Car,2,29.99,59.98,San Diego,San Diego,Downtown,Gift Card,Delivered,5,3
ORD-00000084,2023-06-26,2023,6,2,CUST-03857,Customer 4337,PROD-0044,Toys,Doll,4,29.99,119.96,Philadelphia,Philadelphia,Center City,Gift Card,Delivered,5,4
ORD-00000085,2024-01-29,2024,1,1,CUST-03997,Customer 579,PROD-0023,Sports,Dumbbell,2,199.99,399.98,New York,New York,Manhattan,PayPal,Delivered,4,6
ORD-00000086,2024-06-19,2024,6,2,CUST-00641,Customer 1591,PROD-0035,Sports,Bike,2,499.99,999.98,Phoenix,Phoenix,Tempe,Credit Card,Delivered,5,6
ORD-00000087,2023-10-25,2023,10,4,CUST-03187,Customer 2501,PROD-0011,Home,Rug,5,999.99,4999.95,Houston,Houston,Downtown,Debit Card,Delivered,5,5
ORD-00000088,2023-08-14,2023,8,3,CUST-01966,Customer 2590,PROD-0087,Beauty,Makeup,3,499.99,1499.97,Phoenix,Phoenix,Downtown,PayPal,Delivered,5,2
ORD-00000089,2023-05-17,2023,5,2,CUST-04534,Customer 559,PROD-0053,Clothing,Hat,2,299.99,599.98,Houston,Houston,Galleria,Credit Card,Delivered,4,3
ORD-00000090,2023-06-02,2023,6,2,CUST-00462,Customer 1604,PROD-0009,Beauty,Perfume,2,99.99,199.98,Phoenix,Phoenix,Tempe,PayPal,Delivered,4,4
ORD-00000091,2023-10-20,2023,10,4,CUST-02030,Customer 3892,PROD-0077,Books,Novel,1,79.99,79.99,Los Angeles,Los Angeles,Hollywood,Credit Card,Delivered,4,1
ORD-00000092,2023-10-03,2023,10,4,CUST-03336,Customer 2727,PROD-0055,Beauty,Perfume,1,999.99,999.99,New York,New York,Manhattan,Debit Card,Delivered,3,3
ORD-00000093,2024-02-02,2024,2,1,CUST-04596,Customer 1250,PROD-0037,Beauty,Shampoo,3,999.99,2999.97,Los Angeles,Los Angeles,Downtown,PayPal,Delivered,5,1
ORD-00000094,2023-03-09,2023,3,1,CUST-03496,Customer 4640,PROD-0034,Toys,Building Blocks,2,999.99,1999.98,New York,New York,Bronx,PayPal,Delivered,5,6
ORD-00000095,2024-03-06,2024,3,1,CUST-03761,Customer 104,PROD-0001,Food,Tea,4,299.99,1199.96,Los Angeles,Los Angeles,Hollywood,Amazon Pay,Delivered,4,1
ORD-00000096,2024-03-09,2024,3,1,CUST-00089,Customer 926,PROD-0073,Beauty,Perfume,4,79.99,319.96,Chicago,Chicago,Loop,Amazon Pay,Shipped,4,5
ORD-00000097,2024-01-12,2024,1,1,CUST-01033,Customer 3358,PROD-0038,Toys,Doll,4,99.99,399.96,Chicago,Chicago,Loop,Amazon Pay,Delivered,5,6
ORD-00000098,2024-06-24,2024,6,2,CUST-00687,Customer 1159,PROD-0011,Beauty,Skincare,3,499.99,1499.97,Houston,Houston,Midtown,Debit Card,Delivered,5,2
ORD-00000099,2023-09-09,2023,9,3,CUST-02800,Customer 3000,PROD-0063,Food,Tea,2,49.99,99.98,Phoenix,Phoenix,Tempe,Debit Card,Delivered,5,1
ORD-00000100,2023-10-04,2023,10,4,CUST-00170,Customer 1834,PROD-0031,Clothing,Dress,4,49.99,199.96,San Diego,San Diego,La Jolla,Gift Card,Processing,5,5
ORD-00000101,2023-04-21,2023,4,2,CUST-01259,Customer 3766,PROD-0054,Food,Coffee,4,99.99,399.96,San Antonio,San Antonio,Downtown,Credit Card,Delivered,5,6
ORD-00000102,2023-10-30,2023,10,4,CUST-04514,Customer 1271,PROD-0047,Books,Novel,4,499.99,1999.96,San Antonio,San Antonio,The Pearl,PayPal,Delivered,3,5
ORD-00000103,2024-02-28,2024,2,1,CUST-00672,Customer 1306,PROD-0012,Sports,Bike,2,299.99,599.98,San Antonio,San Antonio,Downtown,Amazon Pay,Delivered,5,5
ORD-00000104,2023-05-28,2023,5,2,CUST-00807,Customer 2330,PROD-0063,Electronics,Smart Watch,2,49.99,99.98,Philadelphia,Philadelphia,University City,Credit Card,Shipped,2,4
ORD-00000105,2023-01-15,2023,1,1,CUST-03825,Customer 261,PROD-0059,Beauty,Skincare,5,49.99,249.95,San Diego,San Diego,Gaslamp,PayPal,Delivered,4,4
ORD-00000106,2023-10-19,2023,10,4,CUST-00775,Customer 723,PROD-0054,Food,Protein Bar,3,299.99,899.97,Houston,Houston,Galleria,Credit Card,Delivered,4,6
ORD-00000107,2023-10-10,2023,10,4,CUST-00810,Customer 4696,PROD-0057,Books,Textbook,5,299.99,1499.95,San Diego,San Diego,Downtown,Debit Card,Processing,4,5
ORD-00000108,2024-06-07,2024,6,2,CUST-02196,Customer 3706,PROD-0033,Home,Bedding,1,19.99,19.99,Phoenix,Phoenix,Scottsdale,PayPal,Delivered,4,1
ORD-00000109,2023-08-10,2023,8,3,CUST-03323,Customer 670,PROD-0081,Beauty,Shampoo,2,19.99,39.98,Houston,Houston,Downtown,PayPal,Delivered,5,5
ORD-00000110,2023-10-22,2023,10,4,CUST-00351,Customer 2623,PROD-0019,Food,Snacks,3,19.99,59.97,Los Angeles,Los Angeles,Downtown,Gift Card,Delivered,5,3
ORD-00000111,2023-10-09,2023,10,4,CUST-02741,Customer 480,PROD-0095,Food,Cereal,5,79.99,399.95,Philadelphia,Philadelphia,Center City,Gift Card,Delivered,5,3
ORD-00000112,2023-09-19,2023,9,3,CUST-02495,Customer 2862,PROD-0074,Toys,Game,2,49.99,99.98,Los Angeles,Los Angeles,Hollywood,Debit Card,Delivered,4,6
ORD-00000113,2023-04-29,2023,4,2,CUST-01234,Customer 1792,PROD-0033,Clothing,Jeans,1,19.99,19.99,Chicago,Chicago,Lincoln Park,Gift Card,Delivered,4,3
ORD-00000114,2023-06-27,2023,6,2,CUST-00948,Customer 4681,PROD-0055,Food,Protein Bar,4,299.99,1199.96,New York,New York,Queens,PayPal,Delivered,5,3
ORD-00000115,2023-09-24,2023,9,3,CUST-03060,Customer 2598,PROD-0071,Electronics,Laptop,4,19.99,79.96,Chicago,Chicago,Wicker Park,Gift Card,Delivered,4,1
ORD-00000116,2023-01-12,2023,1,1,CUST-00254,Customer 1782,PROD-0030,Electronics,Speaker,1,999.99,999.99,Phoenix,Phoenix,Tempe,PayPal,Delivered,3,7
ORD-00000117,2023-07-21,2023,7,3,CUST-01233,Customer 2497,PROD-0019,Toys,Puzzle,4,149.99,599.96,Philadelphia,Philadelphia,University City,Credit Card,Delivered,5,4
ORD-00000118,2024-03-02,2024,3,1,CUST-00574,Customer 836,PROD-0043,Clothing,Shoes,5,199.99,999.95,San Diego,San Diego,Downtown,PayPal,Cancelled,5,4
ORD-00000119,2023-07-20,2023,7,3,CUST-01810,Customer 4906,PROD-0064,Toys,Puzzle,1,149.99,149.99,New York,New York,Brooklyn,Gift Card,Delivered,5,2
ORD-00000120,2024-04-22,2024,4,2,CUST-02651,Customer 352,PROD-0013,Home,Bedding,4,499.99,1999.96,Chicago,Chicago,Wicker Park,Debit Card,Delivered,5,6
ORD-00000121,2024-01-07,2024,1,1,CUST-01534,Customer 156,PROD-0059,Beauty,Makeup,2,999.99,1999.98,Phoenix,Phoenix,Scottsdale,PayPal,Delivered,5,5
ORD-00000122,2024-03-04,2024,3,1,CUST-02045,Customer 3736,PROD-0007,Home,Curtain,3,199.99,599.97,Chicago,Chicago,Lincoln Park,Gift Card,Delivered,5,4
ORD-00000123,2023-08-21,2023,8,3,CUST-00534,Customer 3274,PROD-0003,Electronics,Camera,5,29.99,149.95,San Diego,San Diego,Gaslamp,Debit Card,Delivered,5,6
ORD-00000124,2023-10-23,2023,10,4,CUST-02037,Customer 4269,PROD-0095,Food,Snacks,3,29.99,89.97,Houston,Houston,Downtown,Gift Card,Shipped,5,4
ORD-00000125,2023-04-23,2023,4,2,CUST-04125,Customer 4584,PROD-0087,Food,Snacks,3,29.99,89.97,San Antonio,San Antonio,Downtown,PayPal,Delivered,4,3
ORD-00000126,2023-07-22,2023,7,3,CUST-04725,Customer 3737,PROD-0013,Toys,Doll,1,149.99,149.99,Houston,Houston,Downtown,Gift Card,Delivered,5,7
ORD-00000127,2023-01-28,2023,1,1,CUST-02372,Customer 3511,PROD-0060,Toys,Doll,4,299.99,1199.96,Los Angeles,Los Angeles,Downtown,Credit Card,Shipped,5,2
ORD-00000128,2023-09-25,2023,9,3,CUST-04102,Customer 3561,PROD-0015,Sports,Yoga Mat,2,199.99,399.98,Chicago,Chicago,Loop,PayPal,Delivered,5,3
ORD-00000129,2023-03-01,2023,3,1,CUST-03924,Customer 1634,PROD-0025,Sports,Running Shoes,1,149.99,149.99,Houston,Houston,Midtown,Amazon Pay,Delivered,5,5
ORD-00000130,2023-05-27,2023,5,2,CUST-00200,Customer 442,PROD-0058,Home,Rug,3,49.99,149.97,Chicago,Chicago,Loop,Credit Card,Delivered,1,1
ORD-00000131,2023-12-13,2023,12,4,CUST-00069,Customer 2645,PROD-0072,Food,Protein Bar,4,99.99,399.96,New York,New York,Brooklyn,PayPal,Delivered,5,4
ORD-00000132,2023-12-29,2023,12,4,CUST-00774,Customer 2964,PROD-0054,Electronics,Speaker,3,199.99,599.97,San Antonio,San Antonio,Downtown,Amazon Pay,Delivered,5,7
ORD-00000133,2023-05-13,2023,5,2,CUST-02342,Customer 1996,PROD-0015,Toys,Doll,3,199.99,599.97,San Diego,San Diego,Downtown,Debit Card,Delivered,5,1
ORD-00000134,2023-10-26,2023,10,4,CUST-02790,Customer 881,PROD-0016,Beauty,Shampoo,4,149.99,599.96,New York,New York,Manhattan,PayPal,Delivered,3,1
ORD-00000135,2024-01-02,2024,1,1,CUST-00885,Customer 1641,PROD-0031,Beauty,Skincare,2,49.99,99.98,San Diego,San Diego,Gaslamp,Debit Card,Processing,4,4
ORD-00000136,2023-05-31,2023,5,2,CUST-04182,Customer 285,PROD-0003,Electronics,Camera,3,199.99,599.97,Philadelphia,Philadelphia,University City,Gift Card,Delivered,5,2
ORD-00000137,2023-01-05,2023,1,1,CUST-00931,Customer 2179,PROD-0034,Electronics,Laptop,2,299.99,599.98,Houston,Houston,Downtown,Gift Card,Delivered,5,7
ORD-00000138,2023-01-28,2023,1,1,CUST-01750,Customer 3555,PROD-0028,Home,Lamp,5,49.99,249.95,Chicago,Chicago,Loop,Amazon Pay,Delivered,5,5
ORD-00000139,2023-01-25,2023,1,1,CUST-01982,Customer 3219,PROD-0051,Beauty,Perfume,1,19.99,19.99,Los Angeles,Los Angeles,Downtown,Amazon Pay,Delivered,5,4
ORD-00000140,2023-10-26,2023,10,4,CUST-03228,Customer 3434,PROD-0012,Toys,Building Blocks,5,499.99,2499.95,Philadelphia,Philadelphia,Center City,Amazon Pay,Shipped,5,5
ORD-00000141,2023-07-03,2023,7,3,CUST-02070,Customer 2068,PROD-0009,Home,Rug,2,299.99,599.98,Chicago,Chicago,Lincoln Park,Debit Card,Shipped,5,4
ORD-00000142,2023-04-15,2023,4,2,CUST-02415,Customer 3365,PROD-0070,Home,Curtain,5,49.99,249.95,San Antonio,San Antonio,Downtown,Credit Card,Shipped,5,6
ORD-00000143,2024-06-21,2024,6,2,CUST-03671,Customer 594,PROD-0094,Home,Lamp,4,29.99,119.96,San Antonio,San Antonio,Alamo Heights,Gift Card,Processing,5,4
ORD-00000144,2024-03-04,2024,3,1,CUST-01250,Customer 4000,PROD-0017,Home,Rug,5,99.99,499.95,San Antonio,San Antonio,Alamo Heights,Gift Card,Delivered,5,3
ORD-00000145,2023-11-27,2023,11,4,CUST-03680,Customer 4547,PROD-0077,Clothing,Dress,1,499.99,499.99,Houston,Houston,Downtown,Gift Card,Delivered,5,5
ORD-00000146,2023-10-28,2023,10,4,CUST-04597,Customer 1922,PROD-0002,Electronics,Headphones,4,29.99,119.96,San Antonio,San Antonio,Downtown,PayPal,Processing,2,7
ORD-00000147,2023-12-09,2023,12,4,CUST-01109,Customer 1292,PROD-0066,Electronics,Smart Watch,2,499.99,999.98,Chicago,Chicago,Wicker Park,Gift Card,Shipped,4,2
ORD-00000148,2024-05-19,2024,5,2,CUST-00480,Customer 4951,PROD-0066,Books,Novel,5,499.99,2499.95,New York,New York,Queens,Debit Card,Cancelled,5,5
